id,name,categories,description,overview,features,price,isPaid,hasFreeVersion,image,freeVersionUrl,previewUrl,buyUrl,tutorialUrl
1,Public Data Tracker,"finances,free",Manage your monthly budget and control your spending over multiple years.,"Master your finances with the ultimate Budget Tracker. Track income, expenses, and savings over multiple years with dynamic charts and detailed insights to drive smart financial decisions.",Track income and expenses|Dynamic charts|Detailed savings analysis|Long-term planning|Track your net worth over time and build wealth.,$20,TRUE,TRUE,/budget_tracker.png,https://docs.google.com/spreadsheets/d/1_2Yj5I2-KXI99EnwAIFB6qHcyRG-G0QkWXzplnonwGQ/edit?gid=2061588169#gid=2061588169,https://docs.google.com/spreadsheets/d/1EKIcdA8H20eUWCwS9zOtuCwGEqgiX_USIDIkKSHjp64/edit?gid=2061588169#gid=2061588169,https://ko-fi.com/s/db49a65ceb,https://www.youtube.com/watch?v=J1Zv1J1Y2iY
2,Subscription Tracker,finances,Track all your subscriptions and fixed expenses effortlessly.,Manage your subscriptions and fixed expenses in one simple tracker. Stay on top of recurring costs and avoid overspending.,Track subscriptions and fixed expenses|Monitor recurring costs|Identify savings opportunities|Simple and intuitive layout|Customizable categories,$10,TRUE,FALSE,/subscription_tracker.png,,https://docs.google.com/spreadsheets/d/1y0MMoneThIIZdbmrr2sas21MOIjqYlqwgh7N-84i_QA/edit?gid=2061588169#gid=2061588169,https://ko-fi.com/s/6441e917de,
3,Net Worth Tracker,finances,Track your net worth over time and build wealth.,Track your assets and liabilities to see your net worth growth over time. A clear picture of your financial progress helps you plan for the future.,Monitor assets and liabilities|Track net worth growth|Generate clear financial reports|Easy-to-use interface|Historical performance charts,$10,TRUE,FALSE,/net_worth.png,,https://docs.google.com/spreadsheets/d/1_XQgRBvtdYrL_Gi8im02SpeFqLXz4rKHfDKEe_enAps/edit?gid=1749557257#gid=1749557257,https://ko-fi.com/s/9e1d1d3633,
4,Habit Tracker,"productivity,business,free",Track all your tasks and improve your productivity 3 months at a time.,Enhance your productivity by tracking daily habits and tasks. Ideal for building consistency and achieving business goals over a 3‑month period.,Track daily habits|Monitor task progress|Identify productivity trends|Plan short‑term goals|Free and premium options available,$5,TRUE,TRUE,/habit_tracker.png,https://docs.google.com/spreadsheets/d/1tgsoZOYktuH_pQtOu_orBRtk3WZuxTUAewho3JDCjoo/edit?gid=1586535057#gid=1586535057,https://docs.google.com/spreadsheets/d/18vttrnt3Z5wrDJ0NPp6ajAboWakfMJVVOZf7pNKFiBg/edit?gid=1586535057#gid=1586535057,https://ko-fi.com/s/e5c0f14d57,
5,OKR Tracker,"productivity,free,business",Set your personal or professional SMART goals and grow your success.,Set clear objectives and key results for your goals. A SMART goal tracker designed to drive measurable success.,Define objectives and key results|Monitor progress over time|Align personal and professional goals|Visual performance charts|User‑friendly design,Free,FALSE,TRUE,/okr_tracker.png,https://docs.google.com/spreadsheets/d/1QTiYA3ON4l2DTwfDujTghaOOKLmZMEUrKyEsDngwxNE/edit?gid=756461954#gid=756461954,,,
6,Color Palette,"productivity,free",Copy the color codes for your next google sheets project.,Get quick access to a curated set of color codes for your Google Sheets projects. Ideal for designers and spreadsheet enthusiasts.,Easy copy‑paste color codes|Organized color selection|Optimized for Google Sheets|Ideal for design projects|Simple layout,Free,FALSE,TRUE,/color_palette.png,https://docs.google.com/spreadsheets/d/1PZukfrlXbbKonfjmwQ423ucpsOFSkhBE65r2xl_xk_0/edit?gid=1634915#gid=1634915,,,
7,Task Manager,"productivity,free",Track tasks with a budget and timeline easily.,Manage tasks with integrated budgeting and timelines. Stay organized and meet deadlines with this straightforward tracker.,Budget integration|Timeline tracking|Task prioritization|Clear interface|Efficient project management,Free,FALSE,TRUE,/task_tracker.png,https://docs.google.com/spreadsheets/d/15obNfu2GHG107if2Jpyrv4o1yCgelBqKL_R95lHObZE/edit?gid=290486793#gid=290486793,,,
8,Weight Loss Tracker,"health,free",Built to assist you lose and maintain your ideal weight.,"Track your weight loss journey with detailed logs and progress charts. Manage diet, exercise, and milestones effectively.",Track weight changes|Monitor progress with charts|Log diet and exercise|Set milestones|Maintain healthy habits,$5,TRUE,TRUE,/weight_loss.png,https://docs.google.com/spreadsheets/d/1Mvj3Sme8YdZsk3KMHaDN8Il5xVghnLByqSKqROp0bJg/edit?gid=910630012#gid=910630012,https://docs.google.com/spreadsheets/d/1ByPANkhI7RyLmFxKdlkMO_KJXUbE32TFH06mNqBdUgA/edit?gid=910630012#gid=910630012,https://ko-fi.com/s/d21a52d720,
9,Work Out Tracker,"free,health",Plan your work out days and track your performance.,"Plan and track your workouts with a detailed tracker. Monitor performance, schedule sessions, and boost your fitness regimen.",Workout scheduling|Performance tracking|Progress charts|Customizable exercise logs|User‑friendly interface,$5,TRUE,TRUE,/workout_tracker.png,https://docs.google.com/spreadsheets/d/1Yv_ZUlkEz_0c60W5Hvh5gL1IEvZEHhd7GuJHi88g1-o/edit?gid=990033680#gid=990033680,https://docs.google.com/spreadsheets/d/1ULuKXY9y3AGZXz7jeGO303pzX_JVuvev5MRJMKG_jOQ/edit?gid=1396586418#gid=1396586418,https://ko-fi.com/s/a342a22913,
